url,length,type,podcast
http://raumzeit-podcast.de/podlove/file/2868/s/feed/c/mp3/rz082-bodenerkundung-auf-dem-mars.mp3,78346068,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2848/s/feed/c/mp3/rz081-hubble-weltraumteleskop.mp3,63079491,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2825/s/feed/c/mp3/rz080-europaeische-raumfahrtpolitik.mp3,53378311,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2797/s/feed/c/mp3/rz079-kosmische-chemie.mp3,61363805,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2777/s/feed/c/mp3/rz078-pluto-und-new-horizons.mp3,72758777,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2770/s/feed/c/mp3/rz077-pflanzen-im-weltraum.mp3,58284282,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2721/s/feed/c/mp3/rz076-der-gaia-sternkatalog.mp3,98627431,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2709/s/feed/c/mp3/rz075-geologische-zeit.mp3,70394507,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2688/s/feed/c/mp3/rz074-schwarze-loecher.mp3,67140307,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2674/s/feed/c/mp3/rz073-icecube.mp3,58841084,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2657/s/feed/c/mp3/rz072-die-zukunft-der-raumfahrt.mp3,43393399,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2639/s/feed/c/mp3/rz071-asteroidenabwehr.mp3,47016966,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2623/s/feed/c/mp3/rz070-weltraumrecht.mp3,37960981,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2593/s/feed/c/mp3/rz069-copernicus-open-data-strategy.mp3,55303829,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2544/s/feed/c/mp3/rz068-bodengestuetzte-astronomie.mp3,65130136,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2514/s/feed/c/mp3/rz067-neutronensterne.mp3,72019990,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2466/s/feed/c/mp3/rz066-laserkommunikation.mp3,75792639,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2442/s/feed/c/mp3/rz065-part-time-scientists.mp3,93217096,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2430/s/feed/c/mp3/rz064-iss-expedition-42.mp3,44957895,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2412/s/feed/c/mp3/rz063-galaxien-und-kosmologie.mp3,64896680,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2394/s/feed/c/mp3/rz062-albert-einstein.mp3,64946276,audio/mpeg,raumzeit
http://raumzeit-podcast.de/podlove/file/2363/s/feed/c/mp3/rz061-gravitationswellenastronomie.mp3,102081066,audio/mpeg,raumzeit
